No disposition;Nature mutation;Valeur fonciere;No voie;Code type de voie;Type de voie;Code voie;Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;No plan;1er lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;
1;Vente;2200;22;12;PL;6900;DU VIEUX MARCHE;1356;45000;ORLEANS;45;234;87;27;1;2;Appartement;57;3;
1;Vente;3000;5;12;PL;2020;NOTRE DAME;1446;50000;SAINT-LO;50;502;120;7;2;2;Appartement;21;1;
1;Vente;3000;7;0;RUE;9822;VILLEBOIS MAREUIL;3209;75017;PARIS 17;75;117;30;50;1;2;Appartement;80;3;
1;Vente;3000;38;1;AV;410;GEORGES CLEMENCEAU;203;6220;VALLAURIS;06;155;4;5;1;2;Appartement;10;1;
1;Vente;5000;7;1;AV;273;ELTVILLE;1198;41400;MONTRICHARD VAL DE CHER;41;151;679;111;2;2;Appartement;47;2;
1;Vente;5000;15;0;RUE;840;GRAND RUE MARIO ROUSTAN;901;34200;SETE;34;301;133;8;1;2;Appartement;58;1;
1;Vente;5000;17;0;RUE;20;DU DOCTEUR RAYOL;2619;83131;MONTFERRAT;83;082;277;10;1;2;Appartement;26;1;
1;Vente;6000;11;1;AV;273;ELTVILLE;1198;41400;MONTRICHARD VAL DE CHER;41;151;679;303;1;2;Appartement;23;1;
1;Vente;6000;590;0;RUE;270;DU GENERAL KOENIG;1724;60280;VENETTE;60;665;245;22;1;2;Appartement;17;1;
1;Vente;6000;4;12;PL;1255;DE SCHWEINFURT;582;28200;CHATEAUDUN;28;088;691;11;2;2;Appartement;130;6;
1;Vente;6500;9;0;RUE;4717;JEAN CRISTOFOL;318;13003;MARSEILLE 3EME;13;203;111;110;1;2;Appartement;22;1;
1;Vente;6500;7;1;AV;273;ELTVILLE;1198;41400;MONTRICHARD VAL DE CHER;41;151;679;127;1;2;Appartement;23;1;
1;Vente;7000;2;12;PL;4650;INSURRECTION D AOUT 1944;3028;94200;IVRY-SUR-SEINE;94;041;38;32;1;2;Appartement;46;3;
1;Vente;8000;14;0;RUE;1273;DU PETIT PARIS;465;22600;LOUDEAC;22;136;299;3;1;2;Appartement;23;1;
1;Vente;8000;63;0;RUE;390;DE LA REPUBLIQUE;725;30160;BESSEGES;30;037;197;15;3;2;Appartement;110;5;
1;Vente;8000;5039;8;;B151;PIENE HAUTE;160;6540;BREIL-SUR-ROYA;06;023;1275;18;1;2;Appartement;25;2;
1;Vente;9000;3;0;RUE;100;BEAUMELLE;900;34110;FRONTIGNAN;34;108;357;2;1;2;Appartement;45;3;
1;Vente;9000;7;0;RUE;233;FRANCOIS MITTERRAND;1563;54570;FOUG;54;205;962;1;1;2;Appartement;45;2;
1;Vente;9000;11;0;RUE;8010;VIENNET;945;34500;BEZIERS;34;032;64;4;1;2;Appartement;19;1;
1;Vente;9000;2;10;IMP;500;DAGOREAU;2073;72120;SAINT CALAIS;72;269;168;5;1;2;Appartement;22;1;
1;Vente;9500;20;1;AV;95;DE VERDUN;1818;63230;PONTGIBAUD;63;285;543;2;1;2;Appartement;35;1;
1;Vente;10000;2;0;RUE;1360;RENE DUCROS;466;23300;LA SOUTERRAINE;23;176;173;123;2;2;Appartement;62;4;
